Carrier,Percentage of Delayed Flights
Endeavor Air Inc.,17.790446235502262
American Airlines Inc.,16.515596498270966
Alaska Airlines Inc.,11.815581585399073
JetBlue Airways,25.88331447252609
Delta Air Lines Inc.,12.64285091162872
ExpressJet Airlines Inc.,21.31504406210659
Frontier Airlines Inc.,23.844942722189046
Allegiant Air,20.61178847125027
Hawaiian Airlines Inc.,15.130379646508679
Envoy Air,21.999397911215063
Spirit Air Lines,15.435895547125336
PSA Airlines Inc.,23.652820656749928
SkyWest Airlines Inc.,21.297925620114377
United Air Lines Inc.,13.917549463428086
Southwest Airlines Co.,18.018510544624153
Mesa Airlines Inc.,19.275086337669045
Republic Airlines,17.897234832851836
Virgin America,16.13134756863449
