Carrier,Percentage of Delayed Flights
American Airlines Inc.,18.07623824675238
Alaska Airlines Inc.,16.359392223398967
JetBlue Airways,25.63066290757867
Delta Air Lines Inc.,13.43659318290095
ExpressJet Airlines Inc.,19.47504984729205
Frontier Airlines Inc.,20.585865840993137
Spirit Air Lines,19.501587827927917
SkyWest Airlines Inc.,18.214165912979972
United Air Lines Inc.,16.695010949904187
Virgin America,28.164271625810088
Southwest Airlines Co.,19.79948008340329
Hawaiian Airlines Inc.,11.391757720900063
