Carrier,Percentage of Delayed Flights
American Airlines Inc.,20.896386276227105
Alaska Airlines Inc.,11.370274244590666
JetBlue Airways,19.63057069013691
Delta Air Lines Inc.,12.77090134671658
ExpressJet Airlines Inc.,20.80245122189902
Frontier Airlines Inc.,21.60368431013816
AirTran Airways Corporation,12.025467313280956
Hawaiian Airlines Inc.,6.474247392354505
American Eagle Airlines Inc.,15.95003593016866
SkyWest Airlines Inc.,16.386890617007364
United Air Lines Inc.,21.0033035605041
US Airways Inc.,13.010094913459803
Southwest Airlines Co.,15.867027316127958
Mesa Airlines Inc.,13.452409386755837
Virgin America,15.890906433816813
