Carrier,Percentage of Delayed Flights
American Airlines Inc.,17.945161325869442
Alaska Airlines Inc.,12.956103894598339
JetBlue Airways,22.15893771906174
Delta Air Lines Inc.,13.474775682998033
ExpressJet Airlines Inc.,19.08887944794983
Frontier Airlines Inc.,25.947862081113215
Hawaiian Airlines Inc.,11.299035032515208
Envoy Air,20.550181583681226
Spirit Air Lines,29.154278022474205
SkyWest Airlines Inc.,18.321515011421734
United Air Lines Inc.,20.305861867708053
US Airways Inc.,18.392672923533702
Virgin America,19.026541524643395
Southwest Airlines Co.,18.752233814503253
