Carrier,Percentage of Delayed Flights
Pinnacle Airlines Inc.,18.994517711356654
American Airlines Inc.,20.23923062479201
Alaska Airlines Inc.,12.14659144517038
JetBlue Airways,24.475446382410237
Delta Air Lines Inc.,14.994235891184227
ExpressJet Airlines Inc.,24.106478606107963
Frontier Airlines Inc.,26.384700841136326
AirTran Airways Corporation,19.62092991169978
American Eagle Airlines Inc.,24.094438066224864
SkyWest Airlines Inc.,17.859406506492284
United Air Lines Inc.,19.524395114255096
US Airways Inc.,17.40923872319478
Southwest Airlines Co.,22.370487766913357
Mesa Airlines Inc.,19.898951192858462
Virgin America,17.313986662699314
Hawaiian Airlines Inc.,6.518551310073874
Endeavor Air Inc.,14.308461859107963
