Carrier,Percentage of Delayed Flights
American Airlines Inc.,22.271093199329734
Alaska Airlines Inc.,13.088351834865247
JetBlue Airways,21.86444954404008
Delta Air Lines Inc.,15.303951272840857
ExpressJet Airlines Inc.,23.96603019441096
Frontier Airlines Inc.,25.334019701897653
AirTran Airways Corporation,17.004843071891315
American Eagle Airlines Inc.,25.047755253077835
SkyWest Airlines Inc.,20.39446747217505
United Air Lines Inc.,22.281410578528472
US Airways Inc.,17.507144321319622
Southwest Airlines Co.,25.46608174638376
Hawaiian Airlines Inc.,7.795857196381737
Envoy Air,25.741001393861545
Virgin America,17.73430707703008
