American Airlines Inc.,0.20896386276227105
Alaska Airlines Inc.,0.11370274244590665
JetBlue Airways,0.1963057069013691
Delta Air Lines Inc.,0.1277090134671658
ExpressJet Airlines Inc.,0.2080245122189902
Frontier Airlines Inc.,0.2160368431013816
AirTran Airways Corporation,0.12025467313280956
Hawaiian Airlines Inc.,0.06474247392354505
American Eagle Airlines Inc.,0.1595003593016866
SkyWest Airlines Inc.,0.16386890617007363
United Air Lines Inc.,0.210033035605041
US Airways Inc.,0.13010094913459802
Southwest Airlines Co.,0.15867027316127957
Mesa Airlines Inc.,0.13452409386755837
Virgin America,0.15890906433816812
