Pinnacle Airlines Inc.,0.18994517711356654
American Airlines Inc.,0.20239230624792012
Alaska Airlines Inc.,0.1214659144517038
JetBlue Airways,0.24475446382410238
Delta Air Lines Inc.,0.14994235891184227
ExpressJet Airlines Inc.,0.24106478606107962
Frontier Airlines Inc.,0.26384700841136327
AirTran Airways Corporation,0.1962092991169978
American Eagle Airlines Inc.,0.24094438066224863
SkyWest Airlines Inc.,0.17859406506492284
United Air Lines Inc.,0.19524395114255097
US Airways Inc.,0.17409238723194778
Southwest Airlines Co.,0.22370487766913358
Mesa Airlines Inc.,0.1989895119285846
Virgin America,0.17313986662699316
Hawaiian Airlines Inc.,0.06518551310073874
Endeavor Air Inc.,0.14308461859107963
