American Airlines Inc.,0.1794516132586944
Alaska Airlines Inc.,0.1295610389459834
JetBlue Airways,0.22158937719061741
Delta Air Lines Inc.,0.13474775682998033
ExpressJet Airlines Inc.,0.1908887944794983
Frontier Airlines Inc.,0.25947862081113215
Hawaiian Airlines Inc.,0.11299035032515209
Envoy Air,0.20550181583681226
Spirit Air Lines,0.29154278022474206
SkyWest Airlines Inc.,0.18321515011421735
United Air Lines Inc.,0.20305861867708053
US Airways Inc.,0.18392672923533704
Virgin America,0.19026541524643395
Southwest Airlines Co.,0.18752233814503252
